username,repo_name,stars,repo_url
mrdoob,three.js,80900,https://github.com/mrdoob/three.js
libgdx,libgdx,19800,https://github.com/libgdx/libgdx
pmndrs,react-three-fiber,17500,https://github.com/pmndrs/react-three-fiber
BabylonJS,Babylon.js,16500,https://github.com/BabylonJS/Babylon.js
aframevr,aframe,14000,https://github.com/aframevr/aframe
ssloy,tinyrenderer,13500,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,12600,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,11100,https://github.com/FreeCAD/FreeCAD
metafizzy,zdog,9100,https://github.com/metafizzy/zdog
CesiumGS,cesium,8500,https://github.com/CesiumGS/cesium
timzhang642,3D-Machine-Learning,7800,https://github.com/timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,7100,https://github.com/a1studmuffin/SpaceshipGenerator
isl-org,Open3D,6500,https://github.com/isl-org/Open3D
blender,blender,5300,https://github.com/blender/blender
domlysz,BlenderGIS,5100,https://github.com/domlysz/BlenderGIS
spritejs,spritejs,4800,https://github.com/spritejs/spritejs
openscad,openscad,4700,https://github.com/openscad/openscad
tensorspace-team,tensorspace,4600,https://github.com/tensorspace-team/tensorspace
jagenjo,webglstudio.js,4600,https://github.com/jagenjo/webglstudio.js
YadiraF,PRNet,4600,https://github.com/YadiraF/PRNet
AaronJackson,vrn,4400,https://github.com/AaronJackson/vrn
google,model-viewer,4200,https://github.com/google/model-viewer
ssloy,tinyraytracer,4100,https://github.com/ssloy/tinyraytracer
mosra,magnum,3900,https://github.com/mosra/magnum
FyroxEngine,Fyrox,3600,https://github.com/FyroxEngine/Fyrox
gfxfundamentals,webgl-fundamentals,3500,https://github.com/gfxfundamentals/webgl-fundamentals
tengbao,vanta,3400,https://github.com/tengbao/vanta
cleardusk,3DDFA,3200,https://github.com/cleardusk/3DDFA
jasonlong,isometric-contributions,3200,https://github.com/jasonlong/isometric-contributions
cnr-isti-vclab,meshlab,2900,https://github.com/cnr-isti-vclab/meshlab
